{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(381.75235127465703), 'rmse': np.float64(19.538483853018306), 'r2': 0.9056835567486664}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(401.1719176309851), 'rmse': np.float64(20.02927651291941), 'r2': 0.9012933585584711}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(375.20262601913663), 'rmse': np.float64(19.37014780581544), 'r2': 0.9073017440062209}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(389.2953940495519), 'rmse': np.float64(19.73057003863679), 'r2': 0.9042155265946763}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(355.7930164145538), 'rmse': np.float64(18.862476412564543), 'r2': 0.9120971181190161}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(356.8771203847753), 'rmse': np.float64(18.891191608386574), 'r2': 0.9121919047361938}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(370.13444844983604), 'rmse': np.float64(19.238878565286388), 'r2': 0.9089299956386723}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(369.3545299463442), 'rmse': np.float64(19.218598542722727), 'r2': 0.9091218912641996}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(362.7085151191377), 'rmse': np.float64(19.044907852734223), 'r2': 0.9118939979668531}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(474.98177412474905), 'rmse': np.float64(21.794076583437736), 'r2': 0.8846215530865138}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(434.2879535279902), 'rmse': np.float64(20.839576615852593), 'r2': 0.8931452989920056}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(363.5010033001563), 'rmse': np.float64(19.0657022766054), 'r2': 0.9101927685970012}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(374.51444576368647), 'rmse': np.float64(19.352375713686587), 'r2': 0.9090262038401281}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(438.89029242713724), 'rmse': np.float64(20.949708647786423), 'r2': 0.8915669511371695}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(321.3941768116027), 'rmse': np.float64(17.92746989431589), 'r2': 0.9209223318539483}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(445.3190706357869), 'rmse': np.float64(21.102584453942764), 'r2': 0.8904311396174195}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(449.9772771078422), 'rmse': np.float64(21.212667845130706), 'r2': 0.8888277801589828}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(528.9365706266306), 'rmse': np.float64(22.998621059242456), 'r2': 0.8698574099342136}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(295.8129469907472), 'rmse': np.float64(17.199213557333), 'r2': 0.9272164844817581}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(380.2570970626995), 'rmse': np.float64(19.500181975117552), 'r2': 0.9076312488668205}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(466.4499612106431), 'rmse': np.float64(21.597452655594434), 'r2': 0.8852319740037609}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(408.84858145319276), 'rmse': np.float64(20.220004486972616), 'r2': 0.8989891119144019}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(298.10743442294455), 'rmse': np.float64(17.265787975732373), 'r2': 0.9275863313693175}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(428.9839534845593), 'rmse': np.float64(20.711927807052614), 'r2': 0.8944503256089842}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(429.65990337762236), 'rmse': np.float64(20.728239273455486), 'r2': 0.8956307482659562}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(498.6355066899931), 'rmse': np.float64(22.33014793255954), 'r2': 0.8773128576409039}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(436.84075574823953), 'rmse': np.float64(20.90073577049955), 'r2': 0.8920733134666257}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(371.7415474774161), 'rmse': np.float64(19.28060028830576), 'r2': 0.9081568444837389}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(496.94676853796966), 'rmse': np.float64(22.29230289893733), 'r2': 0.8777283644696091}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(420.48738055078655), 'rmse': np.float64(20.505788952166327), 'r2': 0.8978588578391898}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(299.9016792280129), 'rmse': np.float64(17.317669566890714), 'r2': 0.9271504890059492}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(407.5306377349207), 'rmse': np.float64(20.187388086003615), 'r2': 0.899314725531444}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(407.14977093696365), 'rmse': np.float64(20.177952595270007), 'r2': 0.8998225332166883}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(287.0689954668109), 'rmse': np.float64(16.9431105605438), 'r2': 0.9290762020724711}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(474.4516637453653), 'rmse': np.float64(21.78191138870428), 'r2': 0.8827810928479506}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(325.542026381968), 'rmse': np.float64(18.0427832216088), 'r2': 0.919901771135957}
