{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(649.8470899407777), 'rmse': np.float64(25.492098578594458), 'r2': 0.8401078917054012}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(396.25252363619734), 'rmse': np.float64(19.906092626032798), 'r2': 0.9021011172977884}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(601.1085252500905), 'rmse': np.float64(24.51751466299328), 'r2': 0.8514890139632607}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(467.13795511507277), 'rmse': np.float64(21.613374449980565), 'r2': 0.8850626960342571}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(460.30083900206967), 'rmse': np.float64(21.454622788622263), 'r2': 0.8867449393294647}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(515.6356810221652), 'rmse': np.float64(22.707612842880803), 'r2': 0.8731300371629444}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(473.3350687127793), 'rmse': np.float64(21.7562650451032), 'r2': 0.88305696088563}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(424.0383279190805), 'rmse': np.float64(20.592190945090824), 'r2': 0.8952363050075983}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(398.7796232262858), 'rmse': np.float64(19.969467274473946), 'r2': 0.9018819724061743}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(438.25806216379317), 'rmse': np.float64(20.934613972170425), 'r2': 0.891723151117485}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(617.3990836704111), 'rmse': np.float64(24.847516649967478), 'r2': 0.8500267772780002}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(628.2014836988773), 'rmse': np.float64(25.06394788733166), 'r2': 0.8454337009163767}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(386.94347298072586), 'rmse': np.float64(19.67087880550144), 'r2': 0.904794206755068}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(358.18648943814696), 'rmse': np.float64(18.925815423335052), 'r2': 0.9118697400581949}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(412.0986384634889), 'rmse': np.float64(20.300212768921632), 'r2': 0.898604885442719}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(404.21382914110706), 'rmse': np.float64(20.105069737285348), 'r2': 0.9001341824083157}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(521.7512004670044), 'rmse': np.float64(22.84187383878574), 'r2': 0.871625339654118}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(457.01587223125415), 'rmse': np.float64(21.377929559039487), 'r2': 0.8870888118060445}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(457.7380373281079), 'rmse': np.float64(21.394813327722865), 'r2': 0.8888102518513191}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(313.01969158263273), 'rmse': np.float64(17.692362521230248), 'r2': 0.9226647750062902}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(423.0705137508327), 'rmse': np.float64(20.56867797771244), 'r2': 0.8959053022657001}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(470.62216734212404), 'rmse': np.float64(21.69382786283057), 'r2': 0.8856805508989238}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(403.24105621239033), 'rmse': np.float64(20.080862934953526), 'r2': 0.9003745174905264}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(422.5104237457535), 'rmse': np.float64(20.555058349363872), 'r2': 0.8973674377582735}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(427.9333422869209), 'rmse': np.float64(20.686549791758917), 'r2': 0.8942739955408434}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(392.96418358841987), 'rmse': np.float64(19.823324231531398), 'r2': 0.9029135406829273}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(616.3056068755212), 'rmse': np.float64(24.825503154528835), 'r2': 0.8477343948183491}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(591.7629696668785), 'rmse': np.float64(24.326178690186392), 'r2': 0.8543992420750354}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(401.48904128191316), 'rmse': np.float64(20.037191451945382), 'r2': 0.9008073735455425}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(562.8229565421474), 'rmse': np.float64(23.723889995996597), 'r2': 0.8632839360357556}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(341.86255515040483), 'rmse': np.float64(18.48952555233381), 'r2': 0.9158861745538351}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(558.1461749140328), 'rmse': np.float64(23.625117458206063), 'r2': 0.8626705112248736}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(358.1832330995633), 'rmse': np.float64(18.92572939412279), 'r2': 0.91299324016878}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(672.9970902806309), 'rmse': np.float64(25.94218746136553), 'r2': 0.8344119327349654}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(579.728720424269), 'rmse': np.float64(24.07755636322484), 'r2': 0.8573602178383013}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(540.5310641848693), 'rmse': np.float64(23.24932395113607), 'r2': 0.8686988889014414}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(634.5443504263546), 'rmse': np.float64(25.190163763388966), 'r2': 0.8458619980001776}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(509.67070552601825), 'rmse': np.float64(22.575887701838397), 'r2': 0.8740798111285842}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(396.8206548335326), 'rmse': np.float64(19.920357798833148), 'r2': 0.9019607537514897}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(428.7946508374903), 'rmse': np.float64(20.707357408358273), 'r2': 0.895840927897485}
