{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(433.0919106333713), 'rmse': np.float64(20.810860401083165), 'r2': 0.8947970748735534}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(327.4047380561313), 'rmse': np.float64(18.094328892117865), 'r2': 0.9194434588632129}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(293.5726908636125), 'rmse': np.float64(17.133963081074164), 'r2': 0.9274693870370999}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(326.569707892195), 'rmse': np.float64(18.071239799532158), 'r2': 0.9196489144780307}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(327.3527856197063), 'rmse': np.float64(18.092893235182324), 'r2': 0.9194562415388909}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(285.75451339677915), 'rmse': np.float64(16.904275003583535), 'r2': 0.9294009604482848}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(488.0191654408453), 'rmse': np.float64(22.091155819486797), 'r2': 0.8814546232298337}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(430.46856644214716), 'rmse': np.float64(20.74773641730941), 'r2': 0.89543431485831}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(376.5558480935988), 'rmse': np.float64(19.405046974784646), 'r2': 0.9069674144531316}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(422.8752347603869), 'rmse': np.float64(20.563930430741756), 'r2': 0.8959533498294598}
