{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(391.0247163639236), 'rmse': np.float64(19.774344903534065), 'r2': 0.9037900342057037, 'mae': np.float64(14.988561903147488), 'z_threshold': 1.5, 'mse_peak': np.float64(1058.8369061151775), 'rmse_peak': np.float64(32.539774217335584), 'r2_peak': 0.7218201233124963, 'mae_peak': np.float64(26.212664468360337)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(398.0479107866002), 'rmse': np.float64(19.951138082490438), 'r2': 0.9020620071350478, 'mae': np.float64(14.242943582384212), 'z_threshold': 1.5, 'mse_peak': np.float64(1896.912286572662), 'rmse_peak': np.float64(43.5535565318455), 'r2_peak': 0.5016391826557718, 'mae_peak': np.float64(35.703935932712426)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(366.52700217981055), 'rmse': np.float64(19.144894937810722), 'r2': 0.9098175924265973, 'mae': np.float64(13.002025976018809), 'z_threshold': 1.5, 'mse_peak': np.float64(1391.285911704142), 'rmse_peak': np.float64(37.2999451970662), 'r2_peak': 0.6344784157789647, 'mae_peak': np.float64(30.372348913768082)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(307.8415917107554), 'rmse': np.float64(17.545415119362534), 'r2': 0.9242568876874044, 'mae': np.float64(12.639128945752143), 'z_threshold': 1.5, 'mse_peak': np.float64(1094.770353838722), 'rmse_peak': np.float64(33.08731409224269), 'r2_peak': 0.7123796117483809, 'mae_peak': np.float64(26.502269683956072)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(475.3465769297847), 'rmse': np.float64(21.802444287964246), 'r2': 0.8830429996034137, 'mae': np.float64(14.461329218998484), 'z_threshold': 1.5, 'mse_peak': np.float64(2260.175797725164), 'rmse_peak': np.float64(47.54130622653488), 'r2_peak': 0.40620182289445605, 'mae_peak': np.float64(39.916872042175584)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(362.33960928895544), 'rmse': np.float64(19.03522023221574), 'r2': 0.9108478826101506, 'mae': np.float64(12.972444267666036), 'z_threshold': 1.5, 'mse_peak': np.float64(1591.025042437786), 'rmse_peak': np.float64(39.887655263725215), 'r2_peak': 0.5820025279096859, 'mae_peak': np.float64(31.564112563900938)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(446.41285222057087), 'rmse': np.float64(21.128484380583735), 'r2': 0.8901620193177181, 'mae': np.float64(13.811511598715553), 'z_threshold': 1.5, 'mse_peak': np.float64(1716.085298862184), 'rmse_peak': np.float64(41.425659908590276), 'r2_peak': 0.5491464322166422, 'mae_peak': np.float64(33.4574026923968)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(328.22383216814774), 'rmse': np.float64(18.116948754361143), 'r2': 0.9192419242460863, 'mae': np.float64(12.465982161517411), 'z_threshold': 1.5, 'mse_peak': np.float64(1216.5325448398833), 'rmse_peak': np.float64(34.87882659780692), 'r2_peak': 0.6803899907951623, 'mae_peak': np.float64(27.296975770506794)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(298.5155213814501), 'rmse': np.float64(17.277601725397254), 'r2': 0.9262482021708378, 'mae': np.float64(11.725904008462651), 'z_threshold': 1.5, 'mse_peak': np.float64(1382.8949335349455), 'rmse_peak': np.float64(37.18729532427635), 'r2_peak': 0.6371580573109303, 'mae_peak': np.float64(30.62468610592955)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(305.3809260833025), 'rmse': np.float64(17.47515167554498), 'r2': 0.9248623239832219, 'mae': np.float64(12.058286581690519), 'z_threshold': 1.5, 'mse_peak': np.float64(1266.595227069596), 'rmse_peak': np.float64(35.58925718625771), 'r2_peak': 0.6672374167878938, 'mae_peak': np.float64(28.719883748970823)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(365.2257252785045), 'rmse': np.float64(19.11087976202311), 'r2': 0.9112825391392428, 'mae': np.float64(13.022177165248909), 'z_threshold': 1.5, 'mse_peak': np.float64(1719.0420575245562), 'rmse_peak': np.float64(41.461332076099005), 'r2_peak': 0.5453238400906069, 'mae_peak': np.float64(34.64570123974718)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(413.5912473842914), 'rmse': np.float64(20.336942921301898), 'r2': 0.8978173800818227, 'mae': np.float64(12.575524997441372), 'z_threshold': 1.5, 'mse_peak': np.float64(2341.069299808948), 'rmse_peak': np.float64(48.38459775392318), 'r2_peak': 0.3857536736062144, 'mae_peak': np.float64(38.959092033592306)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(433.71475895587326), 'rmse': np.float64(20.82581952663264), 'r2': 0.8928456280262783, 'mae': np.float64(13.656145624215139), 'z_threshold': 1.5, 'mse_peak': np.float64(2081.157526405737), 'rmse_peak': np.float64(45.6197054616285), 'r2_peak': 0.4539489431834307, 'mae_peak': np.float64(35.79098116427431)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(334.4359461767265), 'rmse': np.float64(18.287589949928517), 'r2': 0.9173736354642925, 'mae': np.float64(12.226239043599278), 'z_threshold': 1.5, 'mse_peak': np.float64(1098.4406903593), 'rmse_peak': np.float64(33.14273208954416), 'r2_peak': 0.7117927440807854, 'mae_peak': np.float64(26.502615301657432)}
