{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(407.03523527413415), 'rmse': np.float64(20.175114256780162), 'r2': 0.9011265361254457}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(548.8532084005385), 'rmse': np.float64(23.427616361903713), 'r2': 0.8666773459141061}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(336.65425228087173), 'rmse': np.float64(18.34814029488743), 'r2': 0.9168255766479234}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(390.2987869843624), 'rmse': np.float64(19.755981043328685), 'r2': 0.9039686460372679}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(340.58971667522627), 'rmse': np.float64(18.455072925221028), 'r2': 0.9158532735226684}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(293.8437439590708), 'rmse': np.float64(17.14187107520853), 'r2': 0.9274024201571043}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(420.13007214564806), 'rmse': np.float64(20.497074721668163), 'r2': 0.8966287853971133}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(437.03665052612695), 'rmse': np.float64(20.905421558201763), 'r2': 0.8924689938043726}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(307.80512288403094), 'rmse': np.float64(17.544375819162987), 'r2': 0.925230653121762}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(341.75952031769066), 'rmse': np.float64(18.48673903958431), 'r2': 0.9159115258355219}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(501.28139159454287), 'rmse': np.float64(22.389314227875378), 'r2': 0.8782330784473024}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(344.7299929351438), 'rmse': np.float64(18.56690585248775), 'r2': 0.9151806537014646}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(340.24985246492514), 'rmse': np.float64(18.445862746559868), 'r2': 0.9159372410041967}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(331.2768399597791), 'rmse': np.float64(18.20101205866803), 'r2': 0.9181541300997303}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(343.9003420809591), 'rmse': np.float64(18.544550198938747), 'r2': 0.9150353442757008}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(356.3756613921082), 'rmse': np.float64(18.877914646276697), 'r2': 0.9134323197875196}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(398.28518954000145), 'rmse': np.float64(19.957083693265442), 'r2': 0.9020036257085212}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(406.8406588742074), 'rmse': np.float64(20.17029149204858), 'r2': 0.9011738009344397}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(362.91081356930994), 'rmse': np.float64(19.050218202669228), 'r2': 0.9107073402301561}
