{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(418.3923667249138), 'rmse': np.float64(20.454641691433118), 'r2': 0.8983677604006343}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(298.9707511284755), 'rmse': np.float64(17.290770692148904), 'r2': 0.9264395202251222}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(360.560603374927), 'rmse': np.float64(18.988433410234954), 'r2': 0.9124157500311527}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(432.279040285471), 'rmse': np.float64(20.791321273201255), 'r2': 0.8936395835378618}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(329.75189095848316), 'rmse': np.float64(18.159071863905467), 'r2': 0.9185308868255544}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(306.49466138581283), 'rmse': np.float64(17.50698892973354), 'r2': 0.9242768610568849}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(341.9780293538641), 'rmse': np.float64(18.492647981126556), 'r2': 0.9155102744198924}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(336.96135419725226), 'rmse': np.float64(18.356507134998537), 'r2': 0.9167497034794361}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(379.02387773532007), 'rmse': np.float64(19.46853558271192), 'r2': 0.9079308117941747}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(340.7313437566448), 'rmse': np.float64(18.45890960367499), 'r2': 0.9158182828735136}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(338.52390263184475), 'rmse': np.float64(18.399019067109116), 'r2': 0.9177687139664938}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(270.4633820160354), 'rmse': np.float64(16.445770946235246), 'r2': 0.9331788157000079}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(363.0783741641347), 'rmse': np.float64(19.0546155606492), 'r2': 0.9118041550202111}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(379.27775519801344), 'rmse': np.float64(19.475054690501217), 'r2': 0.9066803239614727}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(456.2197664420665), 'rmse': np.float64(21.35930163750834), 'r2': 0.8877490698485098}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(595.3710882475816), 'rmse': np.float64(24.400227217130205), 'r2': 0.853511479867932}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(312.2778063774141), 'rmse': np.float64(17.67138382745998), 'r2': 0.9231653759658329}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(401.98488225914036), 'rmse': np.float64(20.04956065002773), 'r2': 0.9006848701549696}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(365.9667764588325), 'rmse': np.float64(19.130258138844663), 'r2': 0.9111025294232338}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(313.28354441398454), 'rmse': np.float64(17.69981763787369), 'r2': 0.9238998825488738}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(342.7768421657113), 'rmse': np.float64(18.514233501976562), 'r2': 0.9167356268356481}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(351.6481365693587), 'rmse': np.float64(18.752283502799298), 'r2': 0.9131211598135797}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(518.684984664585), 'rmse': np.float64(22.77465663110171), 'r2': 0.8723797689909943}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(463.1943207447709), 'rmse': np.float64(21.52194974310578), 'r2': 0.8855623528683046}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(357.7619223267813), 'rmse': np.float64(18.914595484090622), 'r2': 0.9119742029873972}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(317.27922720037833), 'rmse': np.float64(17.81233356975942), 'r2': 0.9219347976771386}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(353.35951397346895), 'rmse': np.float64(18.79785929230956), 'r2': 0.9126983437411247}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(432.0521768019884), 'rmse': np.float64(20.78586483170687), 'r2': 0.8950496379848211}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(317.2002253524094), 'rmse': np.float64(17.81011581524414), 'r2': 0.9219542357453033}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(311.204422840567), 'rmse': np.float64(17.64098701435288), 'r2': 0.92342947741273}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(372.3404124870468), 'rmse': np.float64(19.296124286681167), 'r2': 0.9080088877848281}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(320.3755981290025), 'rmse': np.float64(17.899039028087586), 'r2': 0.9221771424614806}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(447.8391207283879), 'rmse': np.float64(21.16220973169834), 'r2': 0.8912148106904586}
