{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(342.52318806325906), 'rmse': np.float64(18.50738198836505), 'r2': 0.916797242286995}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(408.39773835997147), 'rmse': np.float64(20.208852969923143), 'r2': 0.8991004980443762}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(352.00168599982374), 'rmse': np.float64(18.76170797128619), 'r2': 0.9130338112362004}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(381.6235419947376), 'rmse': np.float64(19.535187278209992), 'r2': 0.9057153806080328}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(360.2793300711753), 'rmse': np.float64(18.98102552738327), 'r2': 0.9113548055354135}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(331.51679024644585), 'rmse': np.float64(18.20760253977568), 'r2': 0.9184317059380951}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(318.7160566817484), 'rmse': np.float64(17.852620442997953), 'r2': 0.9215812719037801}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(354.4209949545001), 'rmse': np.float64(18.826072212612488), 'r2': 0.9124360922831428}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(333.2729433937643), 'rmse': np.float64(18.25576466198456), 'r2': 0.9176609690867683}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(417.506388128031), 'rmse': np.float64(20.432973061403253), 'r2': 0.8968500981553461}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(356.4328851215531), 'rmse': np.float64(18.879430211782164), 'r2': 0.913418419496204}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(417.244822980573), 'rmse': np.float64(20.42657149353687), 'r2': 0.8986465117595286}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(463.0568007153574), 'rmse': np.float64(21.518754627425757), 'r2': 0.8855963288215811}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(347.8031213552997), 'rmse': np.float64(18.649480458052974), 'r2': 0.9155146867528062}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(349.72698635088005), 'rmse': np.float64(18.7009889137147), 'r2': 0.9139511647574592}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(360.60036189767465), 'rmse': np.float64(18.98948029561827), 'r2': 0.9112758170220183}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(359.06009717310127), 'rmse': np.float64(18.94888115887324), 'r2': 0.9127802399644133}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(338.55239105832294), 'rmse': np.float64(18.39979323411877), 'r2': 0.9167006263282246}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(436.70462227986786), 'rmse': np.float64(20.89747884984856), 'r2': 0.8925506879400078}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(339.35562014231556), 'rmse': np.float64(18.421607425583566), 'r2': 0.9175666803730875}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(392.69773994425407), 'rmse': np.float64(19.816602633757736), 'r2': 0.904609275956546}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(329.848299920908), 'rmse': np.float64(18.161726237362682), 'r2': 0.9185070678486624}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(389.1479409175244), 'rmse': np.float64(19.72683301793586), 'r2': 0.9042518068096983}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(440.2300454795434), 'rmse': np.float64(20.981659740819918), 'r2': 0.8916832725791447}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(404.0614967149943), 'rmse': np.float64(20.10128097199266), 'r2': 0.9001718179397664}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(329.75729559620777), 'rmse': np.float64(18.159220677006154), 'r2': 0.918529551545744}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(367.18263564735463), 'rmse': np.float64(19.162010219372984), 'r2': 0.9108071834700219}
