{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(502.2779459635454), 'rmse': np.float64(22.411558311807447), 'r2': 0.8759062800040649}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(409.7587542845769), 'rmse': np.float64(20.242498716427697), 'r2': 0.8987642429282293}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(340.0022881812876), 'rmse': np.float64(18.43915096150817), 'r2': 0.9159984046948217}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(359.6919764031887), 'rmse': np.float64(18.965547089477507), 'r2': 0.9111338338398769}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(450.1100620753883), 'rmse': np.float64(21.215797464987933), 'r2': 0.8906631733436755}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(590.6109951626883), 'rmse': np.float64(24.302489484879697), 'r2': 0.8565339070589217}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(400.7627158991131), 'rmse': np.float64(20.019058816515653), 'r2': 0.9009868208404187}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(532.6881579396671), 'rmse': np.float64(23.080038083583553), 'r2': 0.8683930766864425}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(363.29996293761593), 'rmse': np.float64(19.060429243267738), 'r2': 0.9102424380014762}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(406.5697298055797), 'rmse': np.float64(20.163574331094665), 'r2': 0.8995521292249244}
