{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(560.9309978063767), 'rmse': np.float64(23.68398188241109), 'r2': 0.8614153483380753, 'mae': np.float64(16.621058594733416), 'z_threshold': 1.5, 'mse_peak': np.float64(2758.5892296654515), 'rmse_peak': np.float64(52.52227365285562), 'r2_peak': 0.276205407294116, 'mae_peak': np.float64(42.0926559709949)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(285.36796806321996), 'rmse': np.float64(16.89283777413434), 'r2': 0.9294964610546202, 'mae': np.float64(10.825957432628178), 'z_threshold': 1.5, 'mse_peak': np.float64(1475.5610142475264), 'rmse_peak': np.float64(38.41303182837208), 'r2_peak': 0.6128444670794674, 'mae_peak': np.float64(30.770876120630156)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(261.03631421761565), 'rmse': np.float64(16.156618279133035), 'r2': 0.9355078845376127, 'mae': np.float64(10.50441387794141), 'z_threshold': 1.5, 'mse_peak': np.float64(1235.373803176127), 'rmse_peak': np.float64(35.14788476105108), 'r2_peak': 0.6758644349460383, 'mae_peak': np.float64(29.49117057864227)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(426.4680302273687), 'rmse': np.float64(20.651102397387135), 'r2': 0.8946360182533396, 'mae': np.float64(13.490161368398548), 'z_threshold': 1.5, 'mse_peak': np.float64(2334.876830393932), 'rmse_peak': np.float64(48.320563225131515), 'r2_peak': 0.3873784446413092, 'mae_peak': np.float64(40.19925331134037)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(235.64445419737586), 'rmse': np.float64(15.350715103778581), 'r2': 0.9417812445225567, 'mae': np.float64(10.492081233487081), 'z_threshold': 1.5, 'mse_peak': np.float64(792.7699341641145), 'rmse_peak': np.float64(28.15617044564325), 'r2_peak': 0.7919941883926758, 'mae_peak': np.float64(22.453590574333294)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(321.27643245518294), 'rmse': np.float64(17.924185684576663), 'r2': 0.9206248493074788, 'mae': np.float64(12.177167294927326), 'z_threshold': 1.5, 'mse_peak': np.float64(1166.4233236476737), 'rmse_peak': np.float64(34.15294019038), 'r2_peak': 0.6939555605512902, 'mae_peak': np.float64(27.14192431672046)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(549.909653459776), 'rmse': np.float64(23.450152525298765), 'r2': 0.8646970722431815, 'mae': np.float64(16.400719798499367), 'z_threshold': 1.5, 'mse_peak': np.float64(2267.061827496161), 'rmse_peak': np.float64(47.613672694890504), 'r2_peak': 0.4043927105547752, 'mae_peak': np.float64(37.798567157424635)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(407.70465773732843), 'rmse': np.float64(20.19169774281817), 'r2': 0.8992717318272091, 'mae': np.float64(13.624548123038451), 'z_threshold': 1.5, 'mse_peak': np.float64(1845.8526664095598), 'rmse_peak': np.float64(42.96338751087442), 'r2_peak': 0.51568788694176, 'mae_peak': np.float64(34.40354544509481)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(321.26435457256093), 'rmse': np.float64(17.92384876561284), 'r2': 0.9209542740628545, 'mae': np.float64(12.090036144856954), 'z_threshold': 1.5, 'mse_peak': np.float64(1265.183449538012), 'rmse_peak': np.float64(35.569417334811824), 'r2_peak': 0.6676083219739315, 'mae_peak': np.float64(27.77283797365145)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(374.21141408274883), 'rmse': np.float64(19.34454481456591), 'r2': 0.9075466346638323, 'mae': np.float64(12.501909557631699), 'z_threshold': 1.5, 'mse_peak': np.float64(1597.861044914053), 'rmse_peak': np.float64(39.97325411964922), 'r2_peak': 0.5807555645591994, 'mae_peak': np.float64(31.519074553801723)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(301.6207015709484), 'rmse': np.float64(17.36723068226332), 'r2': 0.9257875112068749, 'mae': np.float64(12.217591860420088), 'z_threshold': 1.5, 'mse_peak': np.float64(954.9374833353618), 'rmse_peak': np.float64(30.90206276829043), 'r2_peak': 0.7491167999298941, 'mae_peak': np.float64(24.58928478845455)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(302.0672385120018), 'rmse': np.float64(17.380081660107404), 'r2': 0.9253707083556197, 'mae': np.float64(11.59217781286209), 'z_threshold': 1.5, 'mse_peak': np.float64(1286.0024536443123), 'rmse_peak': np.float64(35.86087636470018), 'r2_peak': 0.6625805639547373, 'mae_peak': np.float64(28.907404161294696)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(353.4723583166623), 'rmse': np.float64(18.80086057383178), 'r2': 0.9126704642086072, 'mae': np.float64(12.5909729120577), 'z_threshold': 1.5, 'mse_peak': np.float64(1273.6820746107821), 'rmse_peak': np.float64(35.68868272451061), 'r2_peak': 0.6658131669202891, 'mae_peak': np.float64(28.571857413515108)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(460.1046871554976), 'rmse': np.float64(21.450050982585044), 'r2': 0.8867932016557561, 'mae': np.float64(13.95859630597479), 'z_threshold': 1.5, 'mse_peak': np.float64(2513.104641346232), 'rmse_peak': np.float64(50.130875130464574), 'r2_peak': 0.3397518208942727, 'mae_peak': np.float64(42.005505927375005)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(353.1353198864674), 'rmse': np.float64(18.79189505841461), 'r2': 0.9131125588096725, 'mae': np.float64(12.219271045827295), 'z_threshold': 1.5, 'mse_peak': np.float64(1665.7484550160125), 'rmse_peak': np.float64(40.81358174696277), 'r2_peak': 0.5623710345450038, 'mae_peak': np.float64(34.59806020448902)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(380.36945732731596), 'rmse': np.float64(19.50306276786587), 'r2': 0.9064117153029346, 'mae': np.float64(13.445047262572311), 'z_threshold': 1.5, 'mse_peak': np.float64(1858.3059596939336), 'rmse_peak': np.float64(43.10807302227662), 'r2_peak': 0.5117819186979871, 'mae_peak': np.float64(36.06432392525423)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(472.9210314642769), 'rmse': np.float64(21.746747606579632), 'r2': 0.8851221307941359, 'mae': np.float64(14.922568561753978), 'z_threshold': 1.5, 'mse_peak': np.float64(2062.1146036239857), 'rmse_peak': np.float64(45.410512038777824), 'r2_peak': 0.4545832400290527, 'mae_peak': np.float64(36.080894736561326)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(371.4791176433343), 'rmse': np.float64(19.27379354572769), 'r2': 0.908221680884801, 'mae': np.float64(13.55882428568156), 'z_threshold': 1.5, 'mse_peak': np.float64(1555.6802420987487), 'rmse_peak': np.float64(39.44211254609404), 'r2_peak': 0.5918229016840576, 'mae_peak': np.float64(32.38872969343138)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(363.16214683948743), 'rmse': np.float64(19.056813659147938), 'r2': 0.9106455007496455, 'mae': np.float64(13.298807859030727), 'z_threshold': 1.5, 'mse_peak': np.float64(1534.257139882954), 'rmse_peak': np.float64(39.169594584102526), 'r2_peak': 0.5969167116157017, 'mae_peak': np.float64(33.15113172109399)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(529.7460173212215), 'rmse': np.float64(23.016212054141782), 'r2': 0.8713186988074316, 'mae': np.float64(15.31250367289847), 'z_threshold': 1.5, 'mse_peak': np.float64(2887.718771870819), 'rmse_peak': np.float64(53.73749874967032), 'r2_peak': 0.23621596321895832, 'mae_peak': np.float64(43.98950456996305)}
