{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(305.4438809654183), 'rmse': np.float64(17.476952851267246), 'r2': 0.924536468814529, 'mae': np.float64(11.752608045969442), 'z_threshold': 1.5, 'mse_peak': np.float64(1352.660466311149), 'rmse_peak': np.float64(36.778532682954456), 'r2_peak': 0.6450909324394907, 'mae_peak': np.float64(29.43696271611385)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(327.1387164957765), 'rmse': np.float64(18.086976433217814), 'r2': 0.9195089123349531, 'mae': np.float64(11.86652772208759), 'z_threshold': 1.5, 'mse_peak': np.float64(1500.6099280034884), 'rmse_peak': np.float64(38.737706798460444), 'r2_peak': 0.6057565784520869, 'mae_peak': np.float64(32.0975438132747)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(339.40554464976645), 'rmse': np.float64(18.422962428712882), 'r2': 0.9164907115212698, 'mae': np.float64(11.168596413634344), 'z_threshold': 1.5, 'mse_peak': np.float64(1811.8042585704218), 'rmse_peak': np.float64(42.565294061834244), 'r2_peak': 0.5239989441998263, 'mae_peak': np.float64(35.25478753608439)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(461.8429751316698), 'rmse': np.float64(21.4905322207634), 'r2': 0.8863655033038891, 'mae': np.float64(13.21184673430536), 'z_threshold': 1.5, 'mse_peak': np.float64(2162.5928982738815), 'rmse_peak': np.float64(46.50368693204746), 'r2_peak': 0.4318390091120794, 'mae_peak': np.float64(37.5233668087689)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(438.1687366275561), 'rmse': np.float64(20.932480422242275), 'r2': 0.8921904488415183, 'mae': np.float64(13.589237313356648), 'z_threshold': 1.5, 'mse_peak': np.float64(2122.6621159708648), 'rmse_peak': np.float64(46.072357395415146), 'r2_peak': 0.4423297088911825, 'mae_peak': np.float64(36.41138161860379)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(331.94523220218036), 'rmse': np.float64(18.219364209603484), 'r2': 0.9183262896199418, 'mae': np.float64(12.645354727253016), 'z_threshold': 1.5, 'mse_peak': np.float64(1515.473772109721), 'rmse_peak': np.float64(38.92908645357249), 'r2_peak': 0.6018515178174471, 'mae_peak': np.float64(30.5655547181353)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(268.2269430533831), 'rmse': np.float64(16.377635453672276), 'r2': 0.933731354453998, 'mae': np.float64(11.235862517827844), 'z_threshold': 1.5, 'mse_peak': np.float64(1291.5877741921024), 'rmse_peak': np.float64(35.9386668393821), 'r2_peak': 0.6611150957481823, 'mae_peak': np.float64(28.506631316497035)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(330.3962222585346), 'rmse': np.float64(18.176804511754387), 'r2': 0.9183716971406882, 'mae': np.float64(12.398594090562028), 'z_threshold': 1.5, 'mse_peak': np.float64(1579.4752480514203), 'rmse_peak': np.float64(39.74261249655614), 'r2_peak': 0.5855796029512351, 'mae_peak': np.float64(31.445492758713257)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(313.71263808300444), 'rmse': np.float64(17.711934905114248), 'r2': 0.9224935743599542, 'mae': np.float64(10.855547169809133), 'z_threshold': 1.5, 'mse_peak': np.float64(1827.1608903257109), 'rmse_peak': np.float64(42.74530255274503), 'r2_peak': 0.520592207712707, 'mae_peak': np.float64(34.39038261424622)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(338.57832507972284), 'rmse': np.float64(18.400497957384818), 'r2': 0.9163502116571425, 'mae': np.float64(13.832754816138095), 'z_threshold': 1.5, 'mse_peak': np.float64(1382.1740406159824), 'rmse_peak': np.float64(37.17760132950998), 'r2_peak': 0.6373472041367986, 'mae_peak': np.float64(29.20927926284661)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(315.31534380040017), 'rmse': np.float64(17.757120932189434), 'r2': 0.9224180028220534, 'mae': np.float64(11.332414774996872), 'z_threshold': 1.5, 'mse_peak': np.float64(1448.4783959377698), 'rmse_peak': np.float64(38.05888064483465), 'r2_peak': 0.6194526850741908, 'mae_peak': np.float64(29.22571952117777)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(341.19766685433007), 'rmse': np.float64(18.471536667379088), 'r2': 0.9171192263856879, 'mae': np.float64(12.280021085217076), 'z_threshold': 1.5, 'mse_peak': np.float64(1451.4945823924106), 'rmse_peak': np.float64(38.098485303124725), 'r2_peak': 0.61608851862425, 'mae_peak': np.float64(31.579894274246318)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(316.9474075643166), 'rmse': np.float64(17.803016810763186), 'r2': 0.9216943862182266, 'mae': np.float64(12.415536902941287), 'z_threshold': 1.5, 'mse_peak': np.float64(1032.1682576557703), 'rmse_peak': np.float64(32.12737551770717), 'r2_peak': 0.729181207691258, 'mae_peak': np.float64(26.828190961882886)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(367.488927004621), 'rmse': np.float64(19.170000704345867), 'r2': 0.910732781833939, 'mae': np.float64(13.509241102234418), 'z_threshold': 1.5, 'mse_peak': np.float64(1674.8701116874274), 'rmse_peak': np.float64(40.92517699030057), 'r2_peak': 0.5570070508771262, 'mae_peak': np.float64(33.3151505763939)}
