{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(415.2841816080717), 'rmse': np.float64(20.37852255704696), 'r2': 0.8978210961216078}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(375.6718583597233), 'rmse': np.float64(19.382256276288455), 'r2': 0.9071858145947193}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(317.18073152418924), 'rmse': np.float64(17.809568538406236), 'r2': 0.9229532117067446}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(377.68592909093036), 'rmse': np.float64(19.434143384541816), 'r2': 0.9066882145480142}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(422.3091487023955), 'rmse': np.float64(20.550161768278016), 'r2': 0.8956635192288528}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(454.1702820555284), 'rmse': np.float64(21.311271244473623), 'r2': 0.8882533367515288}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(292.83969898626424), 'rmse': np.float64(17.112559685396697), 'r2': 0.9276504813684715}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(376.67032426049866), 'rmse': np.float64(19.407996399950683), 'r2': 0.9085025165614853}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(358.7205132377177), 'rmse': np.float64(18.93991851190806), 'r2': 0.9113738453295532}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(426.4596941079268), 'rmse': np.float64(20.650900564089856), 'r2': 0.8950714088758939}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(341.8228762232656), 'rmse': np.float64(18.48845251023637), 'r2': 0.9155486068398199}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(387.7734862951051), 'rmse': np.float64(19.691965018633997), 'r2': 0.9045899855147133}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(519.3913245060676), 'rmse': np.float64(22.790158501117705), 'r2': 0.8738339708459855}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(380.5542213919852), 'rmse': np.float64(19.50779898891685), 'r2': 0.9075590740055505}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(406.5424626693447), 'rmse': np.float64(20.162898171377662), 'r2': 0.9012462361664144}
